CGMP;Nome;Longitude;Latitude
6298;Posto Shell Bap Barão;-46.433521270752;-23.665096282959
6299;Posto Shell Dar A;-46.6787223815918;-23.338020324707
6300;Posto Shell Abdelnor;-47.2273788452148;-23.1191101074219
6302;Posto Shell Parque Villa Lobos;-46.7176704406738;-23.5456256866455
6303;Posto Shell Santa Cruz de Mogi Mirim;-46.975341796875;-22.4363899230957
6304;Posto Shell Cristal;-46.73193359375;-23.5922451019287
6305;Posto Shell SS;-46.678596496582;-23.5607872009277
6307;Posto Shell Agua Branca;-47.6391410827637;-22.7459392547607
6308;Posto Shell TM;-47.6333160400391;-22.7242736816406
6309;Posto Shell GT;-47.6341896057129;-22.7328605651855
6310;Posto Shell Algodoal;-47.6600379943848;-22.6971378326416
6311;Posto Shell Dona Francisca;-47.6555023193359;-22.710823059082
6312;Posto Shell Radial Norte Sul de Piracicaba;-47.6731910705566;-22.6896629333496
6313;Posto Shell Bongue;-47.6748580932617;-22.6999530792236
6314;Posto Shell Maravilha;-47.8068084716797;-21.1728744506836
6315;Posto Shell Presidente Ribeirao;-47.8097152709961;-21.2034740447998
6316;Posto Shell Sociedade RD;-47.7892227172852;-21.1661357879639
6318;Posto Shell Espaço Botanico;-47.796085357666;-21.2125091552734
6319;Posto Shell Josimar D Lourenco;-47.7981224060059;-21.1882438659668
6320;Posto Shell Alcides Costa;-47.8080787658691;-21.1986885070801
6321;Posto Shell Carro Nobre;-47.793529510498;-21.2038192749023
6322;Posto Shell Monaco;-47.7568893432617;-21.1889896392822
6323;Posto Shell Vitrine;-46.8964157104492;-23.1905040740967
6324;Posto Shell Bela Vista;-46.7195243835449;-23.6448154449463
6325;Posto Shell Sao Martinho;-46.6728324890137;-23.5341987609863
6326;Posto Shell Jurua;-46.6679191589355;-23.5375461578369
6327;Posto Shell Piracena;-47.6305160522461;-22.738826751709
6329;Posto Shell Avenida Campinas;-47.3872108459473;-22.5817794799805
6330;Posto Shell Aeroporto Limeira;-47.4087905883789;-22.5839729309082
6331;Posto Shell Marun;-47.6455078125;-22.7594928741455
6332;Posto Shell Ipe;-45.9012641906738;-23.2317504882813
6334;Posto Shell Quality Casablanca;-46.3197059631348;-23.5518932342529
6335;Posto Shell Quality Supra;-46.3326606750488;-23.5590591430664
6336;Posto Shell M Super;-46.2526741027832;-23.5449085235596
6338;Posto Shell Portal Presidente;-47.8065528869629;-21.1893215179443
6342;Posto Shell Alpha De Votorantim;-47.4650955200195;-23.5525455474854
6343;Posto Shell Universo 2000;-47.6354560852051;-22.7109966278076
6344;Posto Shell Andorinha de Rio Claro;-47.5601654052734;-22.4128398895264
6345;Posto Shell Cedro;-47.4747772216797;-23.4874229431152
6346;Posto Shell Abraao Ribeiro;-46.6599311828613;-23.522777557373
6347;Posto Shell Caragua;-45.4174346923828;-23.6244583129883
6348;Posto Shell Pedro Lessa;-46.3123588562012;-23.9689502716064
6349;Posto Shell Pontal da Cruz;-45.3992195129395;-23.7798595428467
6350;Posto Shell Aeroporto de Ubatuba;-45.0704383850098;-23.443473815918
6351;Posto Shell Jupia;-46.7829704284668;-23.6652603149414
6352;Posto Shell Martineli City;-47.8197975158691;-21.2166976928711
6353;Posto Shell Tiger;-47.647533416748;-22.702844619751
